,Index,Movie_Name,Release_Year,Certificate,Run_Time,Rating,Summary,Director,Actors,Gross_Income
117,118.,Judgment at Nuremberg,1961,No Data,186 min,8.2,"  In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Stanley Kramer,"Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark",No Data
118,119.,Smultronstället,1957,No Data,91 min,8.2,"  After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Ingmar Bergman,"Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin",No Data
119,120.,Det sjunde inseglet,1957,No Data,96 min,8.2,"  A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,"Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",No Data
120,121.,Tôkyô monogatari,1953,No Data,136 min,8.2,  An old couple visit their children and grandchildren in the city; but the children have little time for them.,Yasujirô Ozu,"Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura",No Data
121,122.,Rashômon,1950,No Data,88 min,8.2,"  The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,"Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori",$0.10M
122,123.,All About Eve,1950,No Data,138 min,8.2,  An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,Joseph L. Mankiewicz,"Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders",$0.01M
123,124.,The Treasure of the Sierra Madre,1948,No Data,126 min,8.2,"  Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",John Huston,"John Huston,Humphrey Bogart,Walter Huston,Tim Holt",$5.01M
124,125.,La passion de Jeanne d'Arc,1928,No Data,110 min,8.2,"  In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Carl Theodor Dreyer,"Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley",$0.02M
125,126.,The Gold Rush,1925,No Data,95 min,8.2,  A prospector goes to the Klondike in search of gold and finds it and more.,Charles Chaplin,"Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray",$5.45M
126,127.,Once Upon a Time... in Hollywood,2019,A,161 min,8.1,  A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,"Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie",$125.62M
127,128.,Ah-ga-ssi,2016,No Data,145 min,8.1,"  A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Chan-wook Park,"Chan-wook Park,Min-hee Kim,Jung-woo Ha,Jinwoong Cho",$2.01M
128,129.,Logan,2017,A,137 min,8.1,"  In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,"James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen",$226.28M
129,130.,Relatos salvajes,2014,R,122 min,8.1,  Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,"Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa",$3.11M
130,131.,The Grand Budapest Hotel,2014,R,99 min,8.1,"  The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",Wes Anderson,"Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric",$59.10M
131,132.,Gone Girl,2014,A,149 min,8.1,"  With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,"David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris",$167.77M
132,133.,Hacksaw Ridge,2016,R,139 min,8.1,  World War II American Army Medic ,Desmond T. Doss,"Desmond T. Doss,Mel Gibson,Andrew Garfield,Sam Worthington",$67.21M
133,134.,12 Years a Slave,2013,A,134 min,8.1,"  In the antebellum United States, ",Solomon Northup,"Solomon Northup,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams",$56.67M
134,135.,Rush,I) (2013,UA,123 min,8.1,  The merciless 1970s rivalry between Formula One rivals ,James Hunt,"James Hunt,Niki Lauda,Ron Howard,Daniel Brühl",$26.95M
135,136.,Spotlight,I) (2015,R,129 min,8.1,"  The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,"Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams",$45.06M
136,137.,The Help,2011,UA,146 min,8.1,"  An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,"Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer",$169.71M
137,138.,Prisoners,2013,R,153 min,8.1,"  When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,"Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis",$61.00M
138,139.,Gran Torino,2008,R,116 min,8.1,"  Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Clint Eastwood,"Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley",$148.10M
139,140.,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130 min,8.1,"  Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,"David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint",$381.01M
140,141.,Hachi: A Dog's Tale,2009,No Data,93 min,8.1,  A college professor bonds with an abandoned dog he takes into his home.,Lasse Hallström,"Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",No Data
141,142.,Mary and Max,2009,No Data,92 min,8.1,"  A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Adam Elliot,"Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana",No Data
142,143.,Into the Wild,2007,R,148 min,8.1,"  After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Sean Penn,"Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener",$18.35M
